Exon	IJC1	SJC1	IJC2	SJC2	IncFormLen	SkipFormLen
319	5,4,3	0,0,0	1,0,0	6,6,10	108	22
1117	114,107,103	0,0,0	65,65,85	7,11,8	172	86
1507	595,571,575	36,35,28	274,283,283	122,113,107	44	84
1649	313,400,352	27,26,21	173,164,182	109,112,94	172	86
1650	188,272,240	11,17,13	115,108,119	35,60,40	172	86
1651	233,343,292	27,26,21	136,142,141	109,112,94	172	86
1751	11,5,9	65,74,74	90,110,154	170,171,239	85	71
1753	3,1,6	52,43,41	47,55,81	52,54,56	76	62
1766	45,46,40	52,43,41	136,150,210	52,54,56	130	62
1787	30,39,32	11,15,11	210,179,245	8,3,3	79	59
2152	278,349,285	103,112,78	159,184,169	145,149,153	76	86
2455	15,16,14	7,8,1	4,3,3	30,32,27	59	43
2652	64,55,56	8,9,20	65,48,45	0,0,0	159	77
3046	155,140,158	44,47,34	194,174,160	7,4,7	172	86
3047	117,101,103	44,47,34	144,95,121	7,4,7	114	48
3174	41,43,45	203,231,195	120,121,101	171,113,118	106	86
3314	248,267,242	115,119,101	51,48,45	238,203,174	120	58
4030	196,195,233	341,310,367	179,175,164	109,138,101	112	86
4045	476,499,523	341,310,367	458,435,361	109,138,101	172	86
5245	725,830,750	69,88,67	1474,1227,1293	12,9,14	172	86
5681	87,115,77	27,34,21	16,12,15	49,26,32	39	28
5921	570,583,616	95,89,95	607,559,532	17,26,11	172	86
5961	53,58,67	8,11,11	42,45,65	27,48,33	172	86
5963	36,32,37	36,40,41	78,58,75	12,11,24	172	86
6955	3,2,2	164,173,136	9,6,8	61,51,35	28	86
7383	66,62,62	52,57,69	13,17,16	134,121,105	151	65
7433	145,149,120	229,226,208	89,78,108	521,350,330	102	70
7924	681,619,784	2,1,4	1,2,1	0,0,0	140	54
8163	465,468,483	98,95,112	400,315,365	19,19,18	169	83
8418	1126,1281,1393	324,327,311	5,9,3	33,25,35	172	86
8421	946,1064,940	236,244,222	22,20,16	2388,1911,2083	142	56
8422	951,1076,942	56,58,34	23,20,16	79,69,89	172	86
8424	77,99,83	3,3,4	1,1,2	11,7,12	142	56
8425	82,111,85	0,0,3	2,1,2	0,1,2	172	86
8427	1108,1237,1222	0,0,0	8,11,10	0,4,3	142	56
8431	97,108,90	0,0,0	0,0,2	13,2,5	142	56
8433	28,25,18	2,2,4	0,0,1	21,21,17	142	56
8435	1225,1284,1270	236,244,222	145,128,154	2388,1911,2083	142	56
8438	1169,1226,1239	3,3,4	66,60,67	11,7,12	142	56
8441	1169,1227,1237	2,2,4	66,59,67	21,21,17	142	56
8444	1125,1283,1394	324,327,311	5,9,3	33,25,35	172	86
8463	719,827,770	236,244,222	33,31,46	2388,1911,2083	142	56
8464	716,824,769	56,58,34	22,25,36	79,69,89	172	86
8465	725,824,766	324,327,311	22,24,34	33,25,35	172	86
8474	324,327,311	56,58,34	33,26,35	79,69,89	172	86
8476	324,327,311	236,244,222	46,27,40	2388,1911,2083	142	56
8477	415,427,393	940,1056,932	33,25,37	22,20,16	172	86
8482	1102,1229,1214	0,0,0	8,11,10	0,4,3	142	56
8483	942,1059,936	56,58,34	22,20,16	79,69,89	172	86
8484	940,1056,932	236,244,222	22,20,16	2388,1911,2083	142	56
8492	20,17,18	3,3,4	0,4,3	11,7,12	142	56
8494	992,1106,1018	0,0,0	9,7,11	13,2,5	142	56
8497	22,22,22	3,3,4	2,1,0	11,7,12	136	56
8502	1983,2085,2019	56,58,34	16,22,21	79,69,89	166	86
8511	1521,1602,1655	102,92,108	1414,1120,1140	218,248,259	172	86
8632	123,135,110	3,0,3	1,1,1	0,0,0	172	86
9103	49,47,42	124,107,102	27,25,21	291,275,278	16	86
9906	281,325,268	71,84,58	120,110,119	211,206,193	172	86
10320	484,539,482	11,18,24	79,47,35	127,127,135	172	86
10670	221,202,197	68,66,74	221,176,192	210,183,204	148	86
11011	119,111,101	394,404,370	249,214,243	330,277,306	88	86
11336	98,124,95	25,21,18	79,81,65	147,120,123	5	45
12238	58,58,58	11,4,6	2,3,4	227,176,189	44	78
12500	1046,1044,964	309,345,306	839,843,942	692,690,718	94	68
12877	473,497,442	207,231,160	826,711,778	158,143,166	172	86
13099	2418,2303,2349	1342,1405,1308	2723,2278,2297	714,625,733	172	86
14465	40,48,44	900,895,809	562,526,647	1389,1392,1411	64	86
14577	79,62,85	96,108,94	263,236,204	43,34,18	172	86
16355	82,116,59	13,19,12	6,2,1	8,10,9	156	70
17604	264,505,348	97,97,93	37,23,29	124,125,129	40	8
18180	137,114,116	344,310,291	6,3,5	0,0,1	172	86
18182	977,1030,853	74,52,69	10,6,16	8,4,5	148	86
18489	887,817,749	317,343,344	124,127,108	241,162,212	172	86
18755	837,842,838	530,455,460	817,760,747	235,166,151	162	76
18978	601,581,577	35,35,43	327,245,286	140,139,116	44	80
19886	220,224,226	15,23,29	456,330,327	0,1,3	163	77
20140	372,407,412	185,166,202	846,703,858	184,174,159	130	86
20810	50,85,75	0,2,1	34,37,27	12,4,11	172	86
21235	151,160,158	42,28,49	177,166,130	2,0,3	159	73
21246	187,180,199	42,28,49	201,168,162	2,0,3	135	73
21391	45,42,39	89,80,75	70,54,57	47,37,18	22	86
21614	66,70,83	62,85,73	192,216,200	11,2,3	172	86
22860	130,99,110	59,71,55	128,129,152	189,193,177	80	60
23437	2428,2962,2569	61,45,43	2078,2177,2048	748,735,675	172	86
24886	55,54,57	21,13,10	8,7,13	99,49,57	64	30
25380	496,511,427	563,516,519	513,437,425	189,204,206	106	80
25396	78,74,108	19,22,37	147,96,91	4,7,7	154	86
25399	90,130,153	19,22,37	233,168,125	4,7,7	160	86
25505	2,5,2	73,65,64	18,18,21	30,32,22	5	56
25525	9,15,6	215,229,225	54,52,52	201,148,204	72	86
25563	54,68,69	126,142,159	101,119,102	100,95,102	76	86
25596	303,357,279	8,8,6	413,355,340	96,67,81	85	65
